Направление подготовки,Стоимость обучения
Математика,320
Совместный бакалавриат НИУ ВШЭ и Центра педагогического мастерства,260
Прикладная математика и информатика,350
Прикладная математика,260
Физика,320
Информатика и вычислительная техника,260
Программная инженерия,350
Компьютерная безопасность,260
Инфокоммуникационные технологии и системы связи ,260
Психология ,275
Экономика,420
Экономика и статистика,370
Совместная программа по экономике НИУ ВШЭ и РЭШ,420
Мировая экономика,475
Программа двух дипломов по экономике НИУ ВШЭи Лондонского университета,670
Управление бизнесом,420
Маркетинг и рыночная аналитика ,420
Логистика и управление цепями поставок ,400
Государственное и муниципальное управление ,380
Бизнес-информатика,420
Социология,300
Юриспруденция,370
Юриспруденция: частное право,450
Востоковедение ,400
Политология,300
Международные отношения,440
"Программа двух дипломов НИУ ВШЭ и Лондонского университета ""Международные отношения""",585
Реклама и связи с общественностью,370
Журналистика,300
Медиакоммуникации,300
Филология,300
Иностранные языки и межкультурная коммуникация,300
Фундаментальная и компьютерная лингвистика,300
История,260
Философия,260
История искусств,300
Культурология,260
Дизайн,350
Мода,300
