Направление подготовки,Бюджетные места,Квота,Целевая квота,Платные места,Платные места для иностранцев,Факультет
Реклама и связи с общественностью,35,4,1 ,300,10,"Факультет коммуникаций, медиа и дизайна"
Журналистика,40,4, ,70,10,"Факультет коммуникаций, медиа и дизайна"
Медиакоммуникации,30,3, ,120,10,"Факультет коммуникаций, медиа и дизайна"
Филология,33,3, ,80,5,Факультет гуманитарных наук
Фундаментальная и компьютерная лингвистика,37,4, , 50,5,Факультет гуманитарных наук
История,60,6, ,30,5 ,Факультет гуманитарных наук
Философия,45,5, ,20,5 ,Факультет гуманитарных наук
История искусств,25,3, ,30,5 ,Факультет гуманитарных наук
Культурология,30,3, ,30,5,Факультет гуманитарных наук
Дизайн,55,6, ,300,10,"Факультет коммуникаций, медиа и дизайна"
Мода, , , ,50,10,"Факультет коммуникаций, медиа и дизайна"
